MXU_SOC_TEST_BEGIN
MXU_MODE posit_ff
===MXU_OUT_BEGIN bank_count=8 row_start=0x0 row_count=32===
===MXU_OUT_BANK_BEGIN bank=0 rows=32===
row=24 8645  7902  8e50  79e9  7a88  866e  8706  79aa
row=25 793a  792a  88cc  8650  868e  7aa1  7abb  8c04
row=26 86f3  8969  7a82  86df  85d6  7a02  7aa2  88aa
row=27 8b28  86f8  87d5  79ad  86b7  866f  86e9  7077
row=28 7a0c  8718  8994  85a2  78ba  7aac  79a9  8b28
row=29 78da  872e  75d4  7b10  78fb  85d9  75c8  88e4
row=30 8842  78f0  8c53  86a7  85a7  791b  79c8  78f3
row=31 8666  79c8  8632  7a5f  85ba  857f  8b49  86d0
===MXU_OUT_BANK_END bank=3===
===MXU_OUT_BANK_BEGIN bank=4 rows=32===
row=0 721e  867c  7aa4  7995  79aa  869a  76fd  87ff
row=1 781a  7985  7a23  8c1b  87bd  7a1d  79a9  790c
row=2 86ab  8669  8522  790c  864d  78d2  85a3  7a01
row=3 789f  8a2f  8596  79b2  7a7b  7a80  8bc6  7a07
row=4 8751  87a0  79e9  7a41  7b05  888b  868b  8602
row=5 78ed  87fa  87b3  8cb9  7810  86b8  8771  72f4
row=6 747e  790b  7972  78a9  7664  8796  87a3  7970
row=7 78b1  855e  86fe  8663  740e  7874  878c  77f7
row=8 86ed  7871  7963  8a04  85b6  86b6  7a29  86e1
row=9 7676  85ca  782f  7829  87c0  7997  7a11  8775
row=10 7965  79e3  85bc  7553  9398  85fc  7a7a  87a5
row=11 7610  8675  85a6  7a1b  7927  8a48  8745  88cd
row=12 8723  78ff  87f5  7959  7afe  789b  8787  7826
row=13 86fa  7a02  795f  7a31  7ab5  8693  92d0  732d
row=14 8888  879f  8fb0  773d  79d4  781c  7980  86d5
row=15 7429  9fc0  8655  785c  7a18  713f  8a0e  8759
row=16 7a6f  85f0  8536  7556  78ef  7371  8683  888a
row=17 7a28  86f2  85b7  85aa  79d1  887f  8545  7803
row=18 87c6  87da  8c10  7862  86e7  7776  88b7  79b9
row=19 6a50  878d  85dd  8692  76bd  70d3  793a  79c5
row=20 86d8  77b4  789e  8798  882e  8cb6  8a34  7a32
row=21 750e  6f74  7b28  70c8  7739  6c60  7af4  85a5
row=22 7920  763e  8de7  76fa  77e8  8ee0  8a38  78f6
row=23 799f  8614  86c5  78d0  76be  755b  86d7  771f
row=24 85d8  79ce  88a8  78e9  7a17  7a2c  7b09  6eba
row=25 7a07  87ac  78ee  89bc  860b  866d  8620  872d
row=26 85f0  7a2c  7598  87f8  85d8  87a0  727a  78b2
row=27 8922  7999  7918  87b4  8744  78ff  85ff  87e0
row=28 7938  7921  7990  7802  79c7  71e4  79da  85c2
row=29 8940  788b  742c  74f5  7a02  7ac5  7a2c  85c6
row=30 78f8  7856  78c5  8872  7805  7807  86ca  7827
row=31 7171  799e  73bb  7a0d  86f2  86e7  77d2  87b6
===MXU_OUT_BANK_END bank=4===
===MXU_OUT_BANK_BEGIN bank=5 rows=32===
row=0 7a85  78d0  761b  784d  8672  8691  6c46  8552
row=1 855c  7523  868b  7a57  8720  79a8  84ce  85ce
row=2 85b6  859c  86ca  8628  7697  7a80  86d1  865b
row=3 8571  7990  857f  85c0  781c  7805  8764  8654
row=4 796b  7a31  86e5  86c2  7861  876b  884b  7686
row=5 8667  7976  8712  858e  77fb  79de  7a6c  796f
row=6 880d  85df  8e45  878b  86f8  7a26  85a9  8652
row=7 8725  872c  8677  758a  8545  79d6  872e  86f5
row=8 794d  8565  866d  89c9  8621  86d5  8551  869f
row=9 8644  97d0  7a07  7a3e  7914  876c  78c0  87a1
row=10 7978  78d2  7877  8654  7991  5f80  85be  7adf
row=11 8747  7833  78af  792f  7084  7a57  7a42  792d
row=12 75e0  717f  781b  78ce  85c0  7ba3  7780  86c5
row=13 7a8b  7793  782f  8607  89d2  781d  84ec  7974
row=14 89de  772c  7886  8661  78ba  7824  79c6  79a1
row=15 85eb  7794  7785  86a2  8752  7a49  76ef  7912
row=16 7831  85fd  789e  79f3  790c  8bde  7380  86fa
row=17 77bf  85f8  8649  8646  7a98  7a55  785d  724a
row=18 7b08  87ed  7252  86ac  78b6  7486  7995  8649
row=19 76c8  86ec  86cf  7802  7637  78f8  8618  721f
row=20 7807  86e2  86e6  85b9  7616  795d  7a1c  7a42
row=21 861e  79ca  7610  87a5  8524  8501  777d  7b0a
row=22 8f44  881b  87da  7a0d  8825  7a0c  8693  87ad
row=23 867d  8621  7812  792f  8984  7889  8baa  85de
row=24 85ab  87b9  8e78  7a44  79aa  86d7  86e6  8607
row=25 8677  7638  77bf  884f  8611  8800  7642  7a0d
row=26 78bf  76db  8692  78ec  7a10  8ba5  8811  791c
row=27 7982  86c0  7292  7868  796e  86f3  86a6  7a3d
row=28 7858  8664  870f  792d  79cc  8617  86da  88a5
row=29 78be  860d  78a6  7a21  7992  85f7  8a18  8792
row=30 8d56  7730  94c0  79c1  861d  87af  792f  871f
row=31 7803  7825  85ab  7a24  873e  87cc  876b  7761
===MXU_OUT_BANK_END bank=5===
===MXU_OUT_BANK_BEGIN bank=6 rows=32===
row=0 85b8  8988  8a7d  9010  8638  8795  85b9  766a
row=1 785f  7a31  78f1  87a1  8660  772b  7948  85fe
row=2 786f  8f41  858d  84ce  793e  7a55  79a1  86e3
row=3 78e9  787c  7594  7880  79e2  7aa9  7a24  78d7
row=4 798c  7909  86ee  7af7  856b  6704  7a36  875c
row=5 784a  854c  87c8  7915  9908  8775  87dd  7926
row=6 8cf6  879e  79dd  78d3  79c6  85b2  867f  8593
row=7 873f  7a0f  8916  78cb  899a  764c  78a9  77f8
row=8 7aba  763a  8a4d  8761  786a  8651  8971  87fd
row=9 864a  7883  78ab  8a3e  79c5  7963  85a6  91d4
row=10 794f  778c  875a  86dc  884c  87d5  786f  86c0
row=11 796a  78ab  86a8  8619  7971  7ab8  7ac3  87a6
row=12 79ff  8768  7819  85a1  84cf  8533  8745  8a95
row=13 8d69  7a16  7a3e  76f2  8718  89e8  795f  7a00
row=14 78db  884e  87b5  7838  79b2  8a68  8638  7a29
row=15 87ca  7944  9098  7482  79c4  7867  6d34  797b
row=16 792c  8635  86c6  7883  799d  79de  7aaf  78a7
row=17 795d  85dd  72ba  7904  785a  7a4b  798e  8dfa
row=18 8ac6  863e  867d  7a79  7a3d  85bc  85fc  7901
row=19 857f  87cc  7a0c  7a04  88d7  77ae  7842  79b8
row=20 8758  774d  70d3  7821  67e0  8cb6  85b6  797a
row=21 8760  866a  86b8  860d  7877  8b44  79ca  8685
row=22 79bb  8967  7af6  7990  882a  7940  7a67  8719
row=23 7983  7970  86e6  99c4  872a  8b90  85d0  85ec
row=24 8685  85ae  866d  88ec  872c  7960  856c  7893
row=25 7a57  8645  7999  8699  86cf  7891  7597  7874
row=26 7864  7a5e  78e8  8698  78ff  7add  7824  7761
row=27 8699  8a1e  86e1  8608  854c  865a  866e  79b1
row=28 791f  7b29  799b  8761  876d  784a  8681  7814
row=29 87d6  86d3  8632  79d7  760b  795a  7943  8bcb
row=30 88f1  8577  861d  88ec  7830  7699  7abd  8990
row=31 79c5  8632  794c  8672  7a50  7957  7a2b  7852
===MXU_OUT_BANK_END bank=6===
===MXU_OUT_BANK_BEGIN bank=7 rows=32===
